Sample,Date,Latitude,Longitude,Depth,Temperature,Salinity,Oxygen,Nitrate,Nitrogen Dioxide,Phosphate,Nitrate/Nitrite,Silicate,Size fraction lower threshold,Size fraction upper threshold
TARA_078_MES_0.22-3,11/5/10 12:33,-30.15,-43.29,792.7,5.9,34.4,214.8,29.8,0.0,1.95,28.21,13.93,0.22,3.0
TARA_078_MES_0.45-0.8,11/5/10 12:33,-30.15,-43.29,792.7,5.9,34.4,214.8,29.8,0.0,1.95,28.21,13.93,0.45,0.8
TARA_078_SRF_<-0.22,11/4/10 10:24,-30.14,-43.29,5.6,19.9,36.3,221.5,-0.4,0.0,0.0,0.02,0.48,,0.22
TARA_078_SRF_0.22-0.45,11/4/10 10:24,-30.14,-43.29,5.6,19.9,36.3,221.5,-0.4,0.0,0.0,0.02,0.48,0.22,0.45
TARA_078_SRF_0.22-3,11/4/10 10:24,-30.14,-43.29,5.6,19.9,36.3,221.5,-0.4,0.0,0.0,0.02,0.48,0.22,3.0
TARA_078_SRF_0.45-0.8,11/4/10 10:24,-30.14,-43.29,5.6,19.9,36.3,221.5,-0.4,0.0,0.0,0.02,0.48,0.45,0.8
TARA_082_DCM_<-0.22,12/6/10 16:37,-47.21,-58.06,41.8,7.0,34.1,306.2,17.1,0.14,1.42,19.07,3.08,,0.22
TARA_082_DCM_0.22-3,12/6/10 16:37,-47.21,-58.06,41.8,7.0,34.1,306.2,17.1,0.14,1.42,19.07,3.08,0.22,3.0
TARA_082_SRF_0.22-3,12/6/10 10:25,-47.18,-58.3,5.5,7.3,34.0,305.0,17.1,0.15,1.3,18.15,1.82,0.22,3.0
TARA_084_SRF_0.22-3,1/3/11 11:10,-60.23,-60.65,5.9,1.8,33.7,338.3,24.4,0.27,1.72,25.3,16.55,0.22,3.0
TARA_085_DCM_<-0.22,1/6/11 20:36,-62.24,-49.18,87.4,-0.8,34.3,325.4,33.1,0.06,2.31,31.0,81.82,,0.22
TARA_085_DCM_0.22-3,1/6/11 20:36,-62.24,-49.18,87.4,-0.8,34.3,325.4,33.1,0.06,2.31,31.0,81.82,0.22,3.0
TARA_085_MES_0.22-3,1/7/11 11:25,-61.98,-49.45,783.8,0.5,34.7,203.8,38.8,0.02,2.61,36.37,83.35,0.22,3.0
TARA_085_SRF_0.22-3,1/6/11 10:26,-62.03,-49.54,5.9,0.7,34.4,343.4,27.5,0.11,2.11,28.5,79.52,0.22,3.0
TARA_009_DCM_0.22-1.6,9/28/09 13:36,39.07,5.86,55.0,16.2,37.8,,,0.02,0.02,0.08,0.6,0.22,1.6
TARA_009_SRF_0.22-1.6,9/28/09 13:36,39.07,5.86,5.8,23.9,38.0,,,0.01,0.02,0.03,0.75,0.22,1.6
TARA_093_DCM_0.22-3,3/12/11 20:07,-33.88,-73.05,33.8,16.4,34.3,237.2,0.7,0.37,1.07,7.55,0.59,0.22,3.0
TARA_093_SRF_0.22-3,3/12/11 11:49,-34.05,-73.08,5.3,18.0,34.3,244.9,-1.5,0.01,0.52,0.02,0.09,0.22,3.0
TARA_094_SRF_0.22-3,3/18/11 14:16,-32.78,-87.09,5.4,21.1,34.7,219.2,-0.4,0.0,0.28,0.03,0.09,0.22,3.0
TARA_096_SRF_0.22-3,3/24/11 13:07,-29.72,-101.16,5.5,23.8,35.8,204.1,-0.4,0.0,0.16,0.02,0.53,0.22,3.0
TARA_098_DCM_0.22-3,4/4/11 8:23,-25.85,-111.77,183.3,20.2,35.8,210.6,-0.7,0.02,0.1,0.05,0.35,0.22,3.0
TARA_098_MES_0.22-3,4/4/11 17:28,-25.82,-111.74,481.1,8.1,34.4,155.6,24.6,0.0,2.02,27.29,12.05,0.22,3.0
TARA_098_SRF_0.22-3,4/3/11 18:10,-25.83,-111.78,5.6,25.1,36.4,200.5,-1.6,0.0,0.2,0.05,0.38,0.22,3.0
TARA_099_SRF_0.22-3,4/9/11 14:09,-21.15,-104.79,5.4,23.8,36.1,204.0,-1.7,0.0,0.29,0.04,0.55,0.22,3.0
